pk,account_id,account_status,plan_tier,previous_plan_tier,seats,mrr_amount,arr_amount,downgrade_flag,upgrade_flag,billing_frequency,auto_renew_flag,effective_start_date,effective_end_date,current_record_flag
S-5c2991,A-94c3cd,trial,Enterprise,,32,0,0,false,false,annual,true,2024-01-06,2024-07-19,false
S-ce90ba,A-812c5b,trial,Pro,,55,0,0,false,false,monthly,true,2024-04-03,2024-05-19,false
S-b60208,A-9174e0,trial,Enterprise,,37,0,0,false,false,annual,true,2024-12-06,2024-12-07,false
S-f2710b,A-309e54,trial,Enterprise,,46,0,0,false,false,annual,true,2024-12-13,2024-12-14,false
S-5a500d,A-592832,trial,Basic,,30,0,0,false,false,annual,true,2024-09-26,2024-09-26,false
S-f5efe4,A-313be3,trial,Enterprise,,47,0,0,false,false,annual,true,2023-11-25,2023-12-11,false
S-dfd629,A-7da956,trial,Basic,,26,0,0,false,false,annual,true,2024-06-15,2024-06-30,false
S-4cdee1,A-8b25f2,trial,Enterprise,,20,0,0,false,false,monthly,true,2024-02-19,2024-03-23,false
S-639754,A-034368,trial,Basic,,19,0,0,false,false,monthly,true,2023-12-14,2024-06-21,false
S-6c4770,A-fa3095,trial,Enterprise,,70,0,0,false,false,monthly,true,2023-09-18,2023-12-06,false
S-e76e80,A-832ec2,trial,Basic,,25,0,0,false,false,monthly,true,2024-01-02,2024-02-02,false
S-f7234f,A-5f7781,trial,Pro,,85,0,0,false,false,monthly,false,2024-08-27,2024-09-07,false
S-15a897,A-d26ab4,trial,Enterprise,,9,0,0,false,false,annual,false,2024-11-08,2024-11-13,false
S-93622a,A-d4ac0e,trial,Basic,,156,0,0,false,false,monthly,true,2024-05-10,2024-05-19,false
S-4d260c,A-d5a319,trial,Pro,,15,0,0,false,false,annual,true,2023-06-27,2023-09-25,false
S-3872fd,A-956988,trial,Pro,,2,0,0,false,false,monthly,false,2024-12-01,2024-12-02,false
S-04d260,A-d82ef9,trial,Pro,,26,0,0,false,false,annual,false,2024-07-14,2024-07-21,false
S-d1ef4d,A-3a5ad8,trial,Enterprise,,9,0,0,false,false,annual,true,2023-12-18,2024-01-01,false
S-7553fb,A-54d94a,trial,Enterprise,,52,0,0,false,false,monthly,false,2023-11-29,2023-12-16,false
S-ba69a4,A-0158bb,trial,Basic,,25,0,0,false,false,monthly,true,2024-05-30,2024-06-28,false
S-26191b,A-cbbe12,trial,Pro,,40,0,0,false,false,annual,true,2023-07-21,2023-08-09,false
S-ae4310,A-5790f4,trial,Pro,,20,0,0,false,false,monthly,true,2024-12-22,2024-12-23,false
S-f6f308,A-3793ee,trial,Enterprise,,49,0,0,false,false,annual,true,2023-11-20,2023-11-23,false
S-487d18,A-0354fe,trial,Enterprise,,34,0,0,false,false,annual,true,2024-11-03,2024-11-03,false
S-25ec8c,A-6965e1,trial,Pro,,16,0,0,false,false,monthly,false,2024-12-05,2024-12-06,false
S-13939b,A-86902e,trial,Pro,,34,0,0,false,false,monthly,true,2023-07-21,2023-07-30,false
S-4d8612,A-f97b9a,trial,Enterprise,,16,0,0,false,false,monthly,false,2023-09-10,2023-12-24,false
S-28489e,A-fd7ad3,trial,Basic,,12,0,0,false,false,annual,true,2024-11-02,2024-11-02,false
S-8e169f,A-0dbdc6,trial,Pro,,30,0,0,false,false,annual,true,2023-06-14,2023-11-04,false
S-f50b14,A-625d0b,trial,Basic,,9,0,0,false,false,annual,true,2024-09-25,2024-10-07,false
S-c59d50,A-7a0d69,trial,Basic,,40,0,0,false,false,monthly,false,2024-07-21,2024-08-01,false
S-9b8421,A-6a4e2d,trial,Pro,,56,0,0,false,false,annual,false,2023-05-29,2023-07-09,false
S-7d9605,A-fb186e,trial,Basic,,33,0,0,false,false,annual,false,2024-11-16,2024-12-22,false
S-d9eb73,A-32fb14,trial,Basic,,26,0,0,false,false,annual,true,2023-07-18,2023-09-12,false
S-9a0b2f,A-756192,trial,Pro,,19,0,0,false,false,monthly,true,2023-09-17,2023-10-27,false
S-877508,A-b3fe05,trial,Pro,,11,0,0,false,false,annual,true,2024-06-06,2024-08-04,false
S-eb9911,A-ab438f,trial,Basic,,28,0,0,false,false,annual,true,2024-10-18,2024-10-20,false
S-2756ac,A-df1e44,trial,Enterprise,,39,0,0,false,false,monthly,true,2024-03-08,2024-04-09,false
S-21b68e,A-4f18f0,trial,Enterprise,,25,0,0,false,false,monthly,true,2024-04-25,2024-04-28,false
S-ad3ef7,A-35083d,trial,Enterprise,,19,0,0,false,false,annual,true,2023-06-03,2023-08-10,false
S-39b850,A-297a2d,trial,Basic,,27,0,0,false,false,annual,true,2023-08-15,2023-08-30,false
S-f7e37f,A-794a0b,trial,Pro,,23,0,0,false,false,annual,true,2023-08-07,2023-12-18,false
S-2ad954,A-b9f5b1,trial,Enterprise,,42,0,0,false,false,monthly,true,2023-03-12,2023-10-31,false
S-e6cfc1,A-1e6fc3,trial,Basic,,1,0,0,false,false,annual,true,2024-01-11,2024-04-01,false
S-f16bb2,A-0f6450,trial,Enterprise,,28,0,0,false,false,monthly,true,2024-12-27,2024-12-27,false
S-3981c7,A-c16b88,trial,Pro,,27,0,0,false,false,annual,true,2024-03-08,2024-03-09,false
S-57019e,A-ad296b,trial,Pro,,38,0,0,false,false,annual,true,2024-07-23,2024-07-25,false
S-343642,A-3cc791,trial,Basic,,25,0,0,false,false,annual,false,2024-01-31,2024-03-26,false
S-8c118d,A-b179bf,trial,Pro,,43,0,0,false,false,monthly,true,2024-10-27,2024-11-15,false
S-bfdb45,A-cb6cc6,trial,Enterprise,,13,0,0,false,false,annual,true,2023-04-20,2023-08-15,false
S-929a7c,A-328bd0,trial,Basic,,28,0,0,false,false,monthly,true,2023-08-10,2023-08-24,false
S-73688c,A-d535f6,trial,Basic,,12,0,0,false,false,monthly,true,2024-09-21,2024-09-23,false
S-c26c22,A-dec005,trial,Basic,,21,0,0,false,false,annual,false,2023-10-17,2023-12-22,false
S-038c7d,A-712426,trial,Basic,,9,0,0,false,false,monthly,true,2024-11-10,2024-11-17,false
S-2abab6,A-ae052e,trial,Pro,,39,0,0,false,false,monthly,true,2024-01-22,2024-03-31,false
S-86e226,A-58b9ff,trial,Pro,,25,0,0,false,false,monthly,false,2024-06-17,2024-06-26,false
S-faee8b,A-56962b,trial,Pro,,163,0,0,false,false,monthly,false,2024-05-15,2024-08-28,false
S-fa9b43,A-10b8f2,trial,Basic,,47,0,0,false,false,annual,false,2023-02-05,2023-04-19,false
S-720c17,A-4e0e85,trial,Pro,,20,0,0,false,false,annual,true,2024-02-16,2024-02-22,false
S-1351ac,A-0cc442,trial,Enterprise,,45,0,0,false,false,monthly,true,2024-07-27,2024-08-14,false
S-a10eb2,A-3c1a3f,trial,Basic,,45,0,0,false,false,annual,false,2023-08-31,2023-12-18,false
S-5685bf,A-524364,trial,Enterprise,,108,0,0,false,false,annual,true,2024-12-31,2024-12-31,false
S-162e73,A-55f257,trial,Enterprise,,38,0,0,false,false,annual,true,2024-01-12,2024-01-18,false
S-409beb,A-7988d1,trial,Basic,,33,0,0,false,false,annual,true,2024-03-12,2024-04-29,false
S-904529,A-fe79a5,trial,Basic,,19,0,0,false,false,monthly,true,2024-03-02,2024-03-23,false
S-e57fb8,A-96e141,trial,Enterprise,,40,0,0,false,false,monthly,true,2023-10-14,2023-12-05,false
S-cf55da,A-2f6a32,trial,Basic,,19,0,0,false,false,monthly,true,2024-09-16,2024-09-25,false
S-a68f4f,A-2ebb4b,trial,Basic,,41,0,0,false,false,monthly,true,2023-06-04,2023-06-16,false
S-fe0c52,A-6f8ad2,trial,Basic,,29,0,0,false,false,monthly,false,2024-07-22,2024-08-11,false
S-4977c8,A-3be56b,trial,Enterprise,,3,0,0,false,false,annual,false,2023-11-22,2023-12-16,false
S-327e7c,A-4e960a,trial,Enterprise,,17,0,0,false,false,annual,true,2024-02-07,2024-03-11,false
S-5f30ce,A-9077b0,active,Basic,,2,38,456,false,false,monthly,true,2024-08-26,2024-11-09,false
S-2f8dbb,A-13466a,active,Basic,,2,38,456,false,false,annual,false,2023-11-18,2024-02-11,false
S-2881e0,A-42e5e1,active,Pro,,1,49,588,false,false,annual,true,2024-07-21,2024-08-01,false
S-591a64,A-c7e58b,active,Basic,,3,57,684,false,false,annual,true,2023-08-30,2023-12-16,false
S-2a6c1f,A-22f2df,active,Basic,,3,57,684,false,false,annual,true,2024-12-16,2024-12-21,false
S-b57dcd,A-e5d6ab,active,Basic,,5,95,1140,false,false,annual,true,2023-05-11,2023-08-08,false
S-65c079,A-417d2f,active,Basic,,5,95,1140,false,false,annual,true,2023-07-04,2023-07-16,false
S-07c2c2,A-f1f639,active,Basic,,5,95,1140,false,false,monthly,true,2023-07-03,2023-08-18,false
S-b9ea73,A-b30291,active,Basic,,5,95,1140,false,false,monthly,true,2024-04-09,2024-04-25,false
S-4056f6,A-86cdb4,active,Pro,,2,98,1176,false,false,annual,true,2024-10-06,2024-10-10,false
S-85caaf,A-089363,active,Pro,,2,98,1176,false,false,annual,true,2023-06-03,2023-10-03,false
S-0e1d53,A-016043,active,Basic,,6,114,1368,false,false,annual,false,2024-08-02,2024-09-11,false
S-4f5c94,A-6dee43,active,Basic,,6,114,1368,false,false,annual,true,2023-10-22,2023-10-31,false
S-c10f0c,A-0f7d77,active,Basic,,6,114,1368,false,false,monthly,false,2024-11-11,2024-11-30,false
S-e77b1e,A-296d7c,active,Basic,,6,114,1368,false,false,annual,true,2024-01-30,2024-04-21,false
S-e48c4d,A-439b2f,active,Basic,,7,133,1596,false,false,annual,true,2024-03-09,2024-04-16,false
S-9cfabf,A-0f3e88,active,Basic,,7,133,1596,false,false,annual,true,2023-08-05,2023-09-23,false
S-a4142f,A-a8b49c,active,Basic,,7,133,1596,false,false,annual,true,2023-10-14,2023-11-10,false
S-c545c8,A-c1e51e,active,Basic,,7,133,1596,false,false,monthly,true,2024-10-20,2024-10-31,false
S-3c853b,A-22d9d2,active,Basic,,8,152,1824,false,false,monthly,true,2024-03-27,2024-04-01,false
S-a9b904,A-7641d3,active,Basic,,8,152,1824,false,false,monthly,true,2023-04-12,2023-04-24,false
S-5bc71c,A-d77f4c,active,Basic,,8,152,1824,false,false,monthly,true,2023-10-24,2023-11-10,false
S-20a297,A-34ea2f,active,Basic,,8,152,1824,false,false,monthly,true,2024-09-05,2024-09-07,false
S-b559da,A-e19ff6,active,Basic,,8,152,1824,false,false,annual,true,2023-08-09,2023-10-29,false
S-a36281,A-c45b23,active,Basic,,8,152,1824,false,false,monthly,true,2023-12-29,2024-02-01,false
S-04b127,A-a6d261,active,Basic,,9,171,2052,false,false,monthly,true,2023-12-13,2024-01-11,false
S-5bc277,A-05d3b3,active,Basic,,9,171,2052,false,false,annual,true,2023-07-12,2023-08-03,false
S-49e3e5,A-6e7827,active,Basic,,9,171,2052,false,false,monthly,true,2023-06-11,2023-08-02,false
S-92f228,A-779e4e,active,Basic,,9,171,2052,false,false,annual,true,2023-01-09,2023-01-28,false
S-c696fa,A-db5e9e,active,Basic,,9,171,2052,false,false,monthly,true,2024-11-12,2024-11-15,false
S-7bcd95,A-9123ac,active,Basic,,9,171,2052,false,false,monthly,true,2023-10-25,2023-12-23,false
S-8b64df,A-92a333,active,Basic,,9,171,2052,false,false,annual,true,2023-08-04,2023-08-15,false
S-c2eeba,A-65aeb5,active,Basic,,9,171,2052,false,false,monthly,false,2024-02-02,2024-03-22,false
S-4eabfc,A-751bd4,active,Basic,,10,190,2280,false,false,monthly,true,2024-09-18,2024-10-29,false
S-ab3ad8,A-cd458b,active,Basic,,10,190,2280,false,false,annual,true,2024-07-12,2024-07-25,false
S-b5a1a0,A-474ad4,active,Basic,,10,190,2280,false,false,annual,true,2023-12-04,2023-12-10,false
S-e6678a,A-54ecc2,active,Pro,,4,196,2352,false,false,annual,false,2023-08-16,2023-09-13,false
S-f6bb38,A-b2af2e,active,Basic,,11,209,2508,false,false,monthly,false,2024-08-26,2024-08-27,false
S-b29d83,A-51ec1b,active,Basic,,11,209,2508,false,false,annual,true,2024-02-10,2024-04-01,false
S-0c9600,A-2b9d3e,active,Basic,,11,209,2508,false,false,annual,true,2023-09-06,2023-11-21,false
S-ae20d8,A-9289f6,active,Basic,,12,228,2736,false,false,annual,true,2023-07-04,2023-07-08,false
S-d635a2,A-ff79f2,active,Basic,,12,228,2736,false,false,annual,true,2024-05-29,2024-07-28,false
S-48d2b5,A-9c18c4,active,Basic,,12,228,2736,false,false,monthly,true,2023-08-09,2023-08-29,false
S-87d801,A-443b7c,active,Pro,,5,245,2940,false,false,monthly,true,2024-09-16,2024-09-25,false
S-2e017b,A-432483,active,Pro,,5,245,2940,false,false,annual,true,2023-04-02,2023-04-11,false
S-911b0a,A-8ed5dd,active,Pro,,5,245,2940,false,false,annual,true,2023-08-08,2023-11-09,false
S-fc86d6,A-038089,active,Pro,,5,245,2940,false,false,annual,true,2024-06-27,2024-07-23,false
S-0e0ec8,A-cc102e,active,Basic,,13,247,2964,false,false,annual,true,2024-05-06,2024-05-09,false
S-52699f,A-df10db,active,Basic,,14,266,3192,false,false,monthly,true,2023-08-25,2023-09-08,false
S-6bbf29,A-a09355,active,Basic,,14,266,3192,false,false,annual,true,2024-08-22,2024-09-02,false
S-0ff481,A-6c093d,active,Basic,,15,285,3420,false,false,annual,false,2023-04-30,2023-08-25,false
S-c83dfd,A-249769,active,Basic,,15,285,3420,false,false,monthly,true,2024-06-08,2024-06-10,false
S-c87692,A-dcc2f0,active,Basic,,15,285,3420,false,false,annual,true,2023-10-02,2023-11-22,false
S-23281c,A-69fad4,active,Basic,,15,285,3420,false,false,monthly,true,2023-07-24,2023-09-04,false
S-a68d25,A-31ab9a,active,Basic,,15,285,3420,false,false,monthly,true,2024-03-23,2024-04-01,false
S-da0a69,A-49b828,active,Pro,,6,294,3528,false,false,monthly,true,2023-05-11,2023-05-16,false
S-d26ee3,A-1f559b,active,Basic,,16,304,3648,false,false,monthly,true,2023-12-12,2023-12-21,false
S-80af85,A-2edab2,active,Basic,,17,323,3876,false,false,annual,true,2023-11-22,2023-11-28,false
S-4236fa,A-4437e4,active,Basic,,17,323,3876,false,false,monthly,true,2023-11-17,2023-11-20,false
S-6fa5cd,A-342303,active,Basic,,17,323,3876,false,false,monthly,true,2024-05-03,2024-07-10,false
S-3e54f5,A-157070,active,Basic,,17,323,3876,false,false,annual,true,2023-12-12,2024-01-26,false
S-d35d49,A-bc87bc,active,Basic,,18,342,4104,false,false,annual,true,2024-09-11,2024-11-06,false
S-1cb993,A-84ebe4,active,Basic,,18,342,4104,false,false,annual,true,2023-05-10,2023-06-22,false
S-e477e9,A-c16101,active,Pro,,7,343,4116,false,false,monthly,true,2024-09-06,2024-09-14,false
S-dda23d,A-1b707d,active,Pro,,7,343,4116,false,false,annual,false,2023-11-14,2023-11-18,false
S-6676fa,A-7df7a7,active,Pro,,7,343,4116,false,false,monthly,true,2023-02-05,2023-03-03,false
S-3ad221,A-6f50ae,active,Basic,,19,361,4332,false,false,monthly,true,2023-11-11,2023-11-27,false
S-22014f,A-0be015,active,Basic,,19,361,4332,false,false,annual,true,2024-10-21,2024-11-03,false
S-951c06,A-0532a9,active,Basic,,19,361,4332,false,false,annual,true,2024-09-26,2024-10-02,false
S-24631a,A-4d1e75,active,Basic,,20,380,4560,false,false,monthly,true,2024-09-07,2024-09-14,false
S-f77847,A-186a44,active,Basic,,20,380,4560,false,false,annual,true,2023-08-23,2023-11-01,false
S-d0af44,A-4e44e8,active,Basic,,20,380,4560,false,false,annual,false,2024-08-23,2024-08-23,false
S-2e965d,A-00cac8,active,Pro,,8,392,4704,false,false,monthly,true,2023-09-16,2023-12-26,false
S-2bc644,A-2d4502,active,Pro,,8,392,4704,false,false,annual,true,2024-04-30,2024-07-14,false
S-9a8f71,A-a7bd4b,active,Pro,,8,392,4704,false,false,annual,true,2023-03-19,2023-06-13,false
S-2fed82,A-5b4ebb,active,Basic,,21,399,4788,false,false,monthly,true,2024-07-11,2024-07-13,false
S-a45a12,A-dcc3f1,active,Basic,,21,399,4788,false,false,monthly,true,2023-12-27,2024-01-17,false
S-0d2fb8,A-43a9e3,active,Basic,,22,418,5016,false,false,annual,false,2023-09-20,2023-11-06,false
S-6522e4,A-9f0b68,active,Basic,,22,418,5016,false,false,annual,false,2024-05-17,2024-06-14,false
S-0a6b6b,A-d42431,active,Basic,,22,418,5016,false,false,monthly,true,2024-06-11,2024-07-08,false
S-6e0006,A-5b051a,active,Basic,,22,418,5016,false,false,monthly,true,2024-09-18,2024-10-21,false
S-3d46f8,A-3932db,active,Basic,,23,437,5244,false,false,monthly,true,2023-12-10,2024-02-15,false
S-374be8,A-b7ef83,active,Basic,,23,437,5244,false,false,annual,false,2024-06-12,2024-06-20,false
S-7ce677,A-2e4581,active,Pro,,9,441,5292,false,false,monthly,true,2024-10-20,2024-10-25,false
S-ffce65,A-9ee962,active,Pro,,9,441,5292,false,false,annual,true,2023-06-23,2023-07-09,false
S-132103,A-a2485e,active,Pro,,9,441,5292,false,false,monthly,true,2024-08-08,2024-08-11,false
S-b84a07,A-7c4956,active,Pro,,9,441,5292,false,false,annual,true,2023-06-05,2023-06-05,false
S-227856,A-310452,active,Pro,,9,441,5292,false,false,annual,true,2024-12-26,2024-12-28,false
S-11d378,A-f51f16,active,Basic,,24,456,5472,false,false,monthly,true,2024-02-18,2024-02-23,false
S-90a2c8,A-44dc83,active,Basic,,24,456,5472,false,false,annual,true,2024-06-17,2024-09-24,false
S-7e5af5,A-1d5444,active,Basic,,24,456,5472,false,false,annual,true,2024-03-19,2024-04-04,false
S-43f9f8,A-712f1c,active,Basic,,24,456,5472,false,false,monthly,true,2024-01-03,2024-01-21,false
S-9925b9,A-cea1f0,active,Basic,,25,475,5700,false,false,annual,false,2024-06-01,2024-06-09,false
S-c87441,A-b07b56,active,Basic,,25,475,5700,false,false,annual,true,2024-11-16,2024-11-19,false
S-6ef81d,A-0b0d6d,active,Basic,,25,475,5700,false,false,annual,true,2024-12-30,2024-12-30,false
S-db56d2,A-c1dfe1,active,Basic,,26,494,5928,false,false,monthly,false,2023-10-26,2023-12-17,false
S-d604ec,A-67be94,active,Basic,,26,494,5928,false,false,monthly,true,2023-08-29,2023-09-17,false
S-7a36ee,A-b11cd0,active,Basic,,26,494,5928,false,false,monthly,true,2023-02-16,2023-04-01,false
S-151fce,A-f03140,active,Basic,,27,513,6156,false,false,annual,false,2023-12-11,2024-02-06,false
S-f421c8,A-9badbd,active,Basic,,28,532,6384,false,false,annual,true,2024-06-29,2024-07-01,false
S-fc2bf2,A-f3ff05,active,Basic,,28,532,6384,false,false,monthly,true,2024-08-01,2024-08-02,false
S-f7a5b9,A-ffdfd5,active,Pro,,11,539,6468,false,false,annual,true,2024-04-24,2024-06-11,false
S-022a1e,A-c42f1f,active,Pro,,11,539,6468,false,false,annual,true,2024-07-28,2024-10-13,false
S-36b46e,A-202b67,active,Pro,,11,539,6468,false,false,monthly,true,2024-03-27,2024-05-18,false
S-104941,A-fdfc91,active,Basic,,29,551,6612,false,false,monthly,true,2023-07-30,2023-08-31,false
S-10bf4d,A-ce66f8,active,Basic,,29,551,6612,false,false,monthly,true,2023-08-24,2024-05-16,false
S-19b415,A-f446b6,active,Basic,,30,570,6840,false,false,annual,true,2023-05-28,2023-09-06,false
S-bd02dd,A-eb7fac,active,Pro,,12,588,7056,false,false,monthly,true,2023-12-26,2024-01-21,false
S-86455a,A-1b9609,active,Pro,,12,588,7056,false,false,monthly,true,2023-12-01,2023-12-02,false
S-daf6b3,A-8bde0c,active,Pro,,12,588,7056,false,false,monthly,true,2024-11-04,2024-11-13,false
S-036362,A-c37601,active,Pro,,12,588,7056,false,false,annual,true,2024-11-01,2024-11-02,false
S-5f2554,A-81edc3,active,Pro,,12,588,7056,false,false,monthly,false,2023-11-07,2023-11-13,false
S-9e6f0c,A-c70870,active,Basic,,31,589,7068,false,false,monthly,true,2024-11-11,2024-11-14,false
S-90e2d7,A-8ae3fc,active,Basic,,31,589,7068,false,false,annual,true,2024-07-17,2024-08-06,false
S-907e70,A-993085,active,Basic,,31,589,7068,false,false,monthly,true,2023-08-05,2023-08-09,false
S-cfb108,A-c608c8,active,Enterprise,,3,597,7164,false,false,annual,true,2023-06-30,2023-10-15,false
S-c59502,A-bf7919,active,Enterprise,,3,597,7164,false,false,monthly,true,2024-12-07,2024-12-10,false
S-c935b8,A-684255,active,Basic,,32,608,7296,false,false,annual,true,2024-04-14,2024-05-23,false
S-dfe952,A-e351e1,active,Basic,,33,627,7524,false,false,monthly,true,2024-09-27,2024-10-01,false
S-c14eeb,A-fce879,active,Basic,,33,627,7524,false,false,monthly,true,2024-09-28,2024-10-18,false
S-a805a5,A-2789e3,active,Basic,,33,627,7524,false,false,monthly,true,2024-09-18,2024-10-03,false
S-cc30c5,A-b78bf8,active,Basic,,33,627,7524,false,false,monthly,true,2024-11-17,2024-11-17,false
S-95cf94,A-1ac5e0,active,Basic,,33,627,7524,false,false,annual,true,2024-10-24,2024-11-15,false
S-b41494,A-b7724f,active,Basic,,33,627,7524,false,false,monthly,true,2023-06-03,2024-06-20,false
S-0efb82,A-94f8c9,active,Pro,,13,637,7644,false,false,monthly,true,2024-04-05,2024-04-11,false
S-b15cde,A-ee42db,active,Pro,,13,637,7644,false,false,monthly,true,2023-05-01,2023-06-30,false
S-f7fa56,A-c16cf7,active,Pro,,13,637,7644,false,false,monthly,true,2024-10-18,2024-10-21,false
S-f971ab,A-4bfa33,active,Pro,,13,637,7644,false,false,annual,true,2024-12-10,2024-12-12,false
S-a54381,A-149a69,active,Basic,,34,646,7752,false,false,monthly,false,2024-12-05,2024-12-14,false
S-f1cc81,A-7f8241,active,Basic,,34,646,7752,false,false,annual,true,2023-03-27,2023-05-22,false
S-1be7c5,A-80eeb6,active,Basic,,34,646,7752,false,false,monthly,true,2023-07-15,2023-08-02,false
S-c65c8b,A-bc4d48,active,Basic,,35,665,7980,false,false,annual,false,2024-06-26,2024-06-29,false
S-e82bdc,A-4c38bc,active,Basic,,36,684,8208,false,false,annual,true,2024-03-17,2024-04-03,false
S-7de656,A-f17767,active,Pro,,14,686,8232,false,false,annual,true,2023-02-15,2023-03-22,false
S-f4a92a,A-ccb686,active,Pro,,14,686,8232,false,false,annual,false,2024-02-02,2024-02-28,false
S-74e211,A-3d957b,active,Pro,,14,686,8232,false,false,monthly,false,2024-07-15,2024-07-30,false
S-bbe998,A-08e34e,active,Pro,,14,686,8232,false,false,annual,true,2024-07-01,2024-07-02,false
S-d8165b,A-89ee83,active,Basic,,38,722,8664,false,false,annual,true,2024-10-18,2024-10-25,false
S-3e0c24,A-271f46,active,Basic,,38,722,8664,false,false,annual,true,2023-03-29,2023-07-01,false
S-c64b73,A-de58ca,active,Pro,,15,735,8820,false,false,annual,true,2023-04-20,2023-05-07,false
S-565c4b,A-7920cc,active,Basic,,39,741,8892,false,false,annual,true,2023-11-27,2023-11-30,false
S-dc8c2f,A-8b0451,active,Basic,,41,779,9348,false,false,monthly,true,2024-09-21,2024-10-05,false
S-80af39,A-7f29a7,active,Basic,,41,779,9348,false,false,monthly,true,2024-09-26,2024-10-06,false
S-61a87e,A-91e948,active,Basic,,41,779,9348,false,false,monthly,true,2023-08-14,2023-11-07,false
S-453f00,A-45ce7a,active,Pro,,16,784,9408,false,false,monthly,true,2023-08-18,2024-02-20,false
S-6904e6,A-39b19f,active,Pro,,16,784,9408,false,false,monthly,true,2023-02-23,2023-02-28,false
S-4781b1,A-558c72,active,Pro,,16,784,9408,false,false,monthly,true,2023-06-12,2023-12-17,false
S-87e8d3,A-8145a0,active,Enterprise,,4,796,9552,false,false,monthly,true,2023-08-07,2023-09-29,false
S-80c24c,A-139c3b,active,Pro,,17,833,9996,false,false,monthly,true,2024-11-26,2024-11-27,false
S-e4df5d,A-65c341,active,Pro,,17,833,9996,false,false,annual,true,2024-02-15,2024-02-26,false
S-b37d03,A-019782,active,Pro,,17,833,9996,false,false,annual,true,2023-06-08,2023-08-16,false
S-3e453b,A-883b7d,active,Pro,,17,833,9996,false,false,annual,false,2024-04-21,2024-04-24,false
S-dc90ef,A-bcf87c,active,Pro,,17,833,9996,false,false,annual,true,2024-07-22,2024-08-14,false
S-461988,A-02cd81,active,Basic,,44,836,10032,false,false,annual,false,2024-03-28,2024-03-31,false
S-3e24ed,A-e2cd1b,active,Basic,,44,836,10032,false,false,monthly,true,2024-02-22,2024-04-29,false
S-4dfd17,A-bcbe98,active,Basic,,46,874,10488,false,false,monthly,true,2024-07-29,2024-08-09,false
S-77befa,A-7e0a10,active,Basic,,46,874,10488,false,false,monthly,false,2023-11-29,2023-12-07,false
S-b409d1,A-e98302,active,Pro,,18,882,10584,false,false,annual,true,2024-01-21,2024-02-01,false
S-edeacd,A-59f724,active,Pro,,18,882,10584,false,false,annual,true,2024-01-01,2024-01-29,false
S-482e5b,A-427b69,active,Pro,,18,882,10584,false,false,annual,true,2024-09-07,2024-09-15,false
S-7af0d5,A-c4ea60,active,Basic,,48,912,10944,false,false,annual,false,2023-04-11,2023-05-29,false
S-775dd1,A-378b99,active,Pro,,19,931,11172,false,false,monthly,true,2024-09-10,2024-09-19,false
S-c455ec,A-856b1e,active,Pro,,19,931,11172,false,false,monthly,true,2023-11-02,2023-12-17,false
