usage_id,account_id,subscription_key,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-33030a,A-019782,S-2fd650,2023-06-16,feature_32,8,728,0,false
U-c2f072,A-019782,S-2fd650,2024-06-23,feature_28,10,4580,1,false
U-370b72,A-019782,S-3ea3af,2024-08-22,feature_6,12,1320,0,false
U-7141c4,A-019782,S-3ea3af,2024-08-26,feature_29,9,1053,1,false
U-477ca5,A-019782,S-3ea3af,2024-07-30,feature_36,11,6171,0,false
U-d18474,A-019782,S-3ea3af,2024-02-14,feature_36,8,4432,0,false
U-82719f,A-019782,S-3ea3af,2023-07-25,feature_5,11,3190,0,false
U-be9347,A-019782,S-3ec165,2023-08-16,feature_23,15,795,0,false
U-028818,A-019782,S-3ec165,2024-04-21,feature_23,13,7761,0,false
U-509395,A-019782,S-3ec165,2024-10-07,feature_31,12,288,1,false
U-d547cb,A-019782,S-3ec165,2024-03-03,feature_33,5,850,0,false
U-2eba75,A-019782,S-3ec165,2023-11-12,feature_5,11,1551,0,false
U-120ad0,A-019782,S-7820a5,2024-11-28,feature_23,9,4284,0,false
U-94e639,A-019782,S-7820a5,2024-11-10,feature_17,4,844,1,false
U-0282eb,A-019782,S-7820a5,2023-08-27,feature_6,21,2940,1,false
U-2322be,A-019782,S-7820a5,2023-10-21,feature_20,19,893,1,false
U-5bf612,A-019782,S-7820a5,2023-08-03,feature_9,13,5187,0,false
U-72c414,A-019782,S-b37d03,2024-04-04,feature_19,11,726,0,true
U-bf2e29,A-019782,S-b37d03,2024-02-17,feature_3,4,656,0,false
U-8d4165,A-019782,S-b37d03,2024-08-18,feature_38,10,3530,0,false
U-7b0d54,A-019782,S-b37d03,2023-07-09,feature_40,12,756,0,false
U-45c9b3,A-019782,S-b37d03,2024-10-15,feature_27,11,2563,0,false
U-2ca09b,A-019782,S-b6e44c,2023-06-25,feature_17,9,2781,4,false
U-de0fa2,A-019782,S-b6e44c,2024-06-09,feature_28,12,6768,0,false
U-610120,A-019782,S-b6e44c,2024-12-15,feature_29,11,946,1,true
U-08483a,A-019782,S-b6e44c,2024-08-04,feature_9,11,5610,0,false
U-a7ae35,A-019782,S-b6e44c,2024-12-20,feature_19,8,2600,0,false
U-1a40ab,A-019782,S-b7f657,2024-01-11,feature_27,12,5220,3,false
U-c402c5,A-019782,S-b7f657,2023-08-05,feature_16,12,6276,0,false
U-9cfca0,A-019782,S-b7f657,2023-07-15,feature_18,12,4152,0,false
U-bff14b,A-019782,S-b7f657,2024-02-07,feature_32,4,2012,0,false
U-fb470f,A-019782,S-b7f657,2024-02-28,feature_7,7,1344,0,false
U-317b04,A-019782,S-f018e9,2024-09-01,feature_4,14,7574,1,false
U-1b7a35,A-019782,S-f018e9,2023-11-07,feature_20,4,2272,0,false
U-580c63,A-019782,S-f018e9,2024-05-23,feature_31,14,4396,3,false
U-4e98f1,A-019782,S-f018e9,2024-03-16,feature_34,16,4016,0,false
U-65c0af,A-019782,S-f018e9,2024-08-12,feature_20,10,4280,0,false
U-46d345,A-019782,S-f018e9,2023-06-29,feature_35,8,4144,0,false
U-772494,A-019782,S-f018e9,2024-08-24,feature_27,14,3808,2,true
U-6c9be6,A-029f69,S-21c164,2024-08-11,feature_36,7,525,0,false
U-336816,A-029f69,S-37d13a,2024-09-17,feature_14,10,60,0,false
U-26cdf8,A-029f69,S-37d13a,2024-06-29,feature_37,5,1165,0,false
U-8d790c,A-029f69,S-3ceff3,2024-08-04,feature_31,9,2781,0,true
U-944bca,A-029f69,S-3ceff3,2024-09-01,feature_36,9,4581,2,false
U-570029,A-029f69,S-3ceff3,2024-09-23,feature_36,7,4032,0,false
U-704e38,A-029f69,S-3ceff3,2024-12-17,feature_20,11,2233,5,false
U-fb966c,A-029f69,S-3ceff3,2024-08-07,feature_12,10,2790,1,false
U-45070e,A-029f69,S-41871d,2024-10-17,feature_12,11,1606,3,false
U-52901f,A-029f69,S-41871d,2024-07-29,feature_7,9,4599,0,false
U-1edc0f,A-029f69,S-9eeb7e,2024-05-23,feature_1,8,1160,1,false
U-5c4411,A-029f69,S-9eeb7e,2024-07-13,feature_22,8,4320,0,false
U-c5d688,A-029f69,S-9eeb7e,2024-08-09,feature_32,9,81,0,false
U-668ae8,A-029f69,S-b250cc,2024-05-14,feature_38,12,2664,0,false
U-539a94,A-029f69,S-b250cc,2024-12-31,feature_33,11,4389,0,true
U-a2bde3,A-029f69,S-c2c197,2024-07-02,feature_29,6,78,2,true
U-7153bb,A-029f69,S-c2c197,2024-09-09,feature_25,4,1976,0,false
U-494e52,A-029f69,S-dcc1a5,2024-11-19,feature_23,5,90,0,false
U-ebcc07,A-029f69,S-dcc1a5,2024-09-03,feature_19,21,10143,0,false
U-8ed837,A-029f69,S-f967c2,2024-05-10,feature_1,9,1089,1,false
U-bc3471,A-02cd81,S-18b1f9,2024-12-26,feature_16,12,1920,0,false
U-27fcc4,A-02cd81,S-18b1f9,2024-12-11,feature_27,2,630,2,false
U-48a4b3,A-02cd81,S-18b1f9,2024-11-26,feature_34,11,5533,1,false
U-e1079d,A-02cd81,S-32d874,2024-09-12,feature_25,9,909,0,false
U-f81836,A-02cd81,S-32d874,2024-09-01,feature_37,10,4840,0,false
U-357ffc,A-02cd81,S-32d874,2024-04-02,feature_5,11,4048,1,false
U-f9c81a,A-02cd81,S-461988,2024-10-06,feature_36,5,1545,0,false
U-d28875,A-02cd81,S-461988,2024-04-24,feature_24,11,3421,1,false
U-8669a9,A-02cd81,S-461988,2024-09-01,feature_14,7,805,0,true
U-981c43,A-02cd81,S-567f8f,2024-07-12,feature_1,11,3795,0,false
U-cf7ea6,A-02cd81,S-567f8f,2024-06-23,feature_13,10,2640,0,false
U-1d5467,A-02cd81,S-567f8f,2024-04-13,feature_32,8,2784,0,false
U-191881,A-02cd81,S-567f8f,2024-11-10,feature_5,8,1136,0,false
U-6c5072,A-02cd81,S-700036,2024-05-24,feature_4,11,6303,0,false
U-ddf3b1,A-02cd81,S-700036,2024-07-30,feature_23,8,2664,1,false
U-585c68,A-02cd81,S-700036,2024-05-17,feature_2,7,3164,0,false
U-c8a3ec,A-02cd81,S-7c1eb7,2024-10-02,feature_22,12,3492,0,false
U-dc3ea4,A-02cd81,S-936fa3,2024-07-13,feature_19,12,3276,0,false
U-7a5ee8,A-02cd81,S-9b96c2,2024-04-13,feature_32,6,1170,0,false
U-6e7487,A-02cd81,S-afc43d,2024-10-24,feature_19,10,5790,3,false
U-ff1053,A-02cd81,S-afc43d,2024-07-10,feature_32,12,2916,0,false
U-2be8a5,A-02cd81,S-afc43d,2024-05-12,feature_33,9,954,0,false
U-41cb79,A-02cd81,S-b95751,2024-04-14,feature_22,8,1912,0,false
U-4c74bf,A-02cd81,S-bc4da7,2024-08-04,feature_20,10,2140,2,false
U-1f979c,A-02cd81,S-bc4da7,2024-08-02,feature_3,5,1795,0,false
U-823fa5,A-02cd81,S-bc4da7,2024-09-25,feature_10,13,1924,2,false
U-1070cd,A-02cd81,S-bc4da7,2024-09-29,feature_16,9,3528,0,false
U-8a0016,A-02cd81,S-bc4da7,2024-08-04,feature_32,9,3744,0,false
U-00ec84,A-02cd81,S-f6f97e,2024-09-11,feature_16,8,4072,0,false
U-11d500,A-02cd81,S-f6f97e,2024-07-31,feature_5,11,2497,0,false
U-b0d8e7,A-02cd81,S-f6f97e,2024-08-08,feature_13,5,560,0,false
U-cdb018,A-02fac6,S-020222,2024-10-21,feature_28,9,2745,0,false
U-6a9e7e,A-02fac6,S-020222,2024-12-16,feature_13,5,560,0,false
U-131c5f,A-02fac6,S-020222,2024-03-20,feature_21,11,6094,1,false
U-c3c0c7,A-02fac6,S-020222,2024-08-12,feature_25,12,1428,1,false
U-4997db,A-02fac6,S-33eb1d,2023-12-24,feature_23,6,1494,0,true
U-5f41d3,A-02fac6,S-33eb1d,2024-11-14,feature_19,8,936,0,false
U-8a0d40,A-02fac6,S-33eb1d,2023-11-18,feature_40,11,3311,0,false
U-cfc34b,A-02fac6,S-33eb1d,2023-12-09,feature_15,5,1435,3,false
U-8dd0e2,A-02fac6,S-52119f,2024-10-29,feature_39,14,6510,0,false
U-31bc62,A-02fac6,S-52119f,2024-08-15,feature_36,12,4404,0,false
U-10c1e4,A-02fac6,S-52119f,2023-11-11,feature_14,6,3324,0,false
U-25acaf,A-02fac6,S-52119f,2023-11-06,feature_7,8,4312,2,false
U-f42496,A-02fac6,S-52119f,2024-11-27,feature_29,15,5025,0,false
U-49a92e,A-02fac6,S-52119f,2024-12-07,feature_1,6,1788,0,false
U-76d29c,A-02fac6,S-60b7c7,2024-03-09,feature_24,15,5370,1,false
U-f1d7a0,A-02fac6,S-60b7c7,2024-07-14,feature_1,14,5278,0,false
U-4bdaa4,A-02fac6,S-60b7c7,2024-12-27,feature_16,10,2520,0,false
U-6278a1,A-02fac6,S-60b7c7,2024-05-22,feature_17,12,2796,0,false
U-73e973,A-02fac6,S-60b7c7,2024-07-25,feature_24,8,3352,0,false
U-f0d714,A-02fac6,S-74a274,2024-02-11,feature_18,7,2940,0,false
U-6d8964,A-02fac6,S-74a274,2024-11-03,feature_23,12,7128,2,false
U-78ffce,A-02fac6,S-9e15d0,2024-02-05,feature_37,10,1730,0,false
U-09e908,A-02fac6,S-a408fe,2024-06-22,feature_16,12,4140,1,true
U-7d2663,A-02fac6,S-a408fe,2024-12-17,feature_6,11,2145,0,true
U-9594d5,A-02fac6,S-a408fe,2023-11-01,feature_16,7,364,0,false
U-bba792,A-02fac6,S-a408fe,2024-04-30,feature_25,9,2097,0,false
U-6a440d,A-02fac6,S-a408fe,2024-11-19,feature_38,11,3817,0,false
U-42fbbf,A-02fac6,S-b48787,2024-12-27,feature_29,5,2165,0,false
U-c71b2d,A-02fac6,S-b48787,2023-11-07,feature_29,16,7328,0,false
U-fd8852,A-02fac6,S-b48787,2024-01-13,feature_15,8,3600,1,false
U-859c70,A-02fac6,S-b48787,2024-02-17,feature_12,2,824,2,false
U-67c1db,A-02fac6,S-d91908,2024-12-11,feature_40,7,3780,0,false
U-119c25,A-02fac6,S-d91908,2023-11-19,feature_34,8,2080,1,false
U-65bd30,A-02fac6,S-f45fe3,2023-12-21,feature_20,9,675,0,false
U-622883,A-02fac6,S-f45fe3,2023-10-27,feature_24,15,5430,1,false
U-22e5a9,A-02fac6,S-f95951,2024-05-08,feature_38,11,3168,0,false
U-f0c12d,A-02fac6,S-f95951,2024-01-30,feature_32,9,387,2,false
U-0eeabf,A-034368,S-2a312e,2024-11-18,feature_12,15,5955,5,false
U-dee041,A-034368,S-639754,2024-09-30,feature_32,15,5025,0,false
U-78a4ca,A-034368,S-8f2b13,2024-10-15,feature_20,8,2528,0,false
U-2f975c,A-034368,S-8f2b13,2024-08-31,feature_13,11,1012,0,false
U-5bb627,A-034368,S-8f2b13,2024-09-16,feature_8,11,5445,0,false
U-5a9e42,A-034368,S-c77f0c,2024-04-09,feature_13,5,685,1,true
U-70aa1f,A-034368,S-c77f0c,2024-04-21,feature_33,12,7200,0,false
U-696ca9,A-034368,S-c77f0c,2024-07-18,feature_16,7,469,4,false
U-d2b0b6,A-034368,S-cc80ee,2024-12-13,feature_30,7,2415,0,false
U-38513b,A-034368,S-cc80ee,2024-07-03,feature_27,10,4620,0,false
U-7301af,A-034368,S-cc80ee,2024-04-03,feature_29,6,1632,3,false
U-fd2155,A-034368,S-cc80ee,2024-07-25,feature_35,8,904,0,true
U-9bc281,A-034368,S-cc80ee,2023-12-17,feature_3,9,1251,0,true
U-eb9cb5,A-0354fe,S-487d18,2024-12-26,feature_16,10,2570,2,false
U-44c995,A-0354fe,S-9ea111,2024-11-16,feature_35,9,1269,0,false
U-5efa71,A-0354fe,S-ab63e3,2024-12-31,feature_37,10,2380,0,false
U-e008f9,A-0354fe,S-ab63e3,2024-12-09,feature_8,21,9303,1,false
U-7aba14,A-0354fe,S-c8fd93,2024-11-26,feature_9,8,3160,0,false
U-29f433,A-038089,S-7003c5,2024-08-25,feature_30,15,2265,0,true
U-79ad8a,A-038089,S-c3472f,2024-08-17,feature_37,12,4596,0,false
U-f80bcd,A-038089,S-c3472f,2024-09-24,feature_25,6,3042,0,false
U-649ea9,A-038089,S-fc86d6,2024-11-28,feature_35,9,2826,0,false
U-993139,A-039727,S-574b52,2024-12-05,feature_12,12,1452,0,false
U-f9b98b,A-039727,S-6da42f,2024-12-08,feature_25,7,3269,0,false
U-58c5fa,A-039727,S-a575f5,2024-11-22,feature_7,11,5203,0,false
U-a13b8e,A-039727,S-a575f5,2024-12-08,feature_38,9,3006,1,false
U-fd1654,A-039727,S-a6285f,2024-11-08,feature_23,6,3054,0,false
U-174cd8,A-039727,S-d81959,2024-12-22,feature_10,7,2485,1,false
U-0c1060,A-0532a9,S-29597a,2024-10-01,feature_2,5,2930,1,false
U-90f37b,A-0532a9,S-29597a,2024-11-02,feature_14,15,840,3,false
U-0998c2,A-0532a9,S-54b286,2024-11-13,feature_18,8,944,0,false
U-4a8def,A-0532a9,S-601bbe,2024-12-11,feature_17,9,4230,0,false
U-6a9d25,A-0532a9,S-951c06,2024-10-02,feature_26,8,2136,0,false
U-4eadad,A-0532a9,S-99af79,2024-10-12,feature_22,18,6048,0,false
U-50e5b9,A-0532a9,S-c1f8e1,2024-12-16,feature_24,10,2350,1,false
U-9006e4,A-0532a9,S-c1f8e1,2024-11-14,feature_25,5,2905,0,false
U-8908da,A-0532a9,S-dd80e4,2024-12-25,feature_14,7,1246,0,false
U-889d79,A-0532a9,S-eff018,2024-11-01,feature_14,11,2882,0,false
U-94e3e5,A-0532a9,S-eff018,2024-09-28,feature_4,6,2724,0,false
U-f9b8b8,A-054577,S-056af2,2024-11-27,feature_33,11,6017,0,true
U-ff92c7,A-054577,S-41ea32,2024-11-15,feature_1,10,3220,0,false
U-6c2a5b,A-054577,S-606d6d,2024-12-27,feature_20,11,3355,0,false
U-3b1eb1,A-054577,S-606d6d,2024-12-06,feature_30,11,407,2,false
U-9d7a8d,A-054577,S-7bebc1,2024-05-11,feature_22,8,1896,4,false
U-ba5493,A-054577,S-7bebc1,2024-11-15,feature_25,10,5240,0,false
U-215525,A-054577,S-8a37c8,2024-11-25,feature_17,9,675,0,false
U-ea0b67,A-054577,S-8a37c8,2024-12-31,feature_24,11,4356,2,false
U-27cde3,A-054577,S-8a37c8,2024-12-10,feature_38,16,7280,0,false
U-ae1eca,A-054577,S-9b8167,2024-05-30,feature_8,9,3285,0,false
U-b2adb7,A-054577,S-9b8167,2024-05-29,feature_22,10,4090,0,false
U-63977c,A-054577,S-d041d2,2024-07-01,feature_4,7,3990,0,false
U-23996a,A-054577,S-d041d2,2024-07-25,feature_27,10,900,0,false
U-c1bfed,A-054577,S-d041d2,2024-12-17,feature_14,11,6182,0,true
U-0d4642,A-054577,S-d26bbf,2024-09-08,feature_18,6,2868,0,false
U-e400f0,A-054577,S-d9d6ac,2024-05-17,feature_36,16,2752,0,false
U-873a2e,A-05d3b3,S-02508a,2024-02-23,feature_24,17,7616,1,false
U-d0caec,A-05d3b3,S-02508a,2024-10-15,feature_15,10,5090,0,true
U-7b6f55,A-05d3b3,S-02508a,2023-11-06,feature_36,5,635,0,false
U-f85bbe,A-05d3b3,S-3ee288,2024-01-06,feature_20,10,2640,0,false
U-71f29f,A-05d3b3,S-3ee288,2024-08-27,feature_33,11,5940,0,true
U-2cba02,A-05d3b3,S-3ee288,2024-07-31,feature_24,8,1576,0,false
U-ec904d,A-05d3b3,S-3ee288,2023-12-17,feature_32,15,1875,0,false
U-e3e2bf,A-05d3b3,S-3ee288,2023-10-05,feature_19,15,3990,0,false
U-d5f75a,A-05d3b3,S-474b5a,2023-12-26,feature_11,7,1036,0,false
U-286420,A-05d3b3,S-474b5a,2024-05-13,feature_13,11,6446,0,false
U-6fb893,A-05d3b3,S-474b5a,2024-11-08,feature_35,13,2483,0,false
U-19f99a,A-05d3b3,S-474b5a,2024-09-12,feature_23,9,2700,0,false
U-9245f1,A-05d3b3,S-474b5a,2024-10-26,feature_35,6,2556,0,false
U-a80294,A-05d3b3,S-5a1fc3,2024-03-21,feature_37,7,1043,3,false
U-e512cf,A-05d3b3,S-5a1fc3,2023-11-04,feature_33,8,3024,0,false
U-e2edae,A-05d3b3,S-5bc277,2024-10-17,feature_21,9,2619,0,false
U-21f777,A-05d3b3,S-5bc277,2024-05-05,feature_25,8,4568,0,true
U-2baef9,A-05d3b3,S-5bc277,2024-08-05,feature_33,5,1880,0,false
U-c9e07d,A-05d3b3,S-5bc277,2024-03-14,feature_26,11,4158,1,false
U-1edd34,A-05d3b3,S-5bc277,2024-02-21,feature_38,13,3757,0,false
U-ec4aa7,A-05d3b3,S-5bc277,2024-08-11,feature_17,8,2544,0,false
U-710f01,A-05d3b3,S-61efc1,2023-10-19,feature_26,13,3783,0,false
U-f438ba,A-05d3b3,S-61efc1,2023-12-01,feature_33,15,1950,1,false
U-d6258a,A-05d3b3,S-61efc1,2024-07-14,feature_19,11,4697,0,true
U-ba448e,A-05d3b3,S-61efc1,2024-09-23,feature_24,9,3429,0,false
U-39c3dc,A-05d3b3,S-61efc1,2024-12-05,feature_20,4,1160,0,false
U-80c963,A-05d3b3,S-672dd6,2023-10-14,feature_3,12,4368,1,false
U-05d5d6,A-05d3b3,S-672dd6,2023-07-14,feature_3,7,189,0,false
U-7e8a1c,A-05d3b3,S-81e9f1,2023-11-01,feature_4,13,6981,0,false
U-f1f552,A-05d3b3,S-81e9f1,2024-02-28,feature_32,11,2321,2,false
U-4a8b6f,A-05d3b3,S-81e9f1,2023-11-28,feature_20,12,1380,0,false
U-af2bef,A-05d3b3,S-98f176,2024-09-12,feature_10,13,2275,0,false
U-f2e1bd,A-05d3b3,S-98f176,2024-01-14,feature_35,10,4260,1,false
U-dd7f85,A-05d3b3,S-98f176,2024-03-11,feature_16,4,1888,0,false
U-fba81c,A-05d3b3,S-a3e1e3,2023-10-29,feature_1,17,6664,0,false
U-639e39,A-05d3b3,S-a3e1e3,2024-05-28,feature_2,10,2870,1,false
U-320505,A-05d3b3,S-a3e1e3,2024-06-24,feature_40,6,1188,0,false
U-d16c33,A-05d3b3,S-a3e1e3,2024-01-26,feature_32,10,1190,2,false
U-71f9dc,A-05d3b3,S-a3e1e3,2024-07-22,feature_29,7,980,0,false
U-5aa8de,A-05d3b3,S-b11cdb,2024-05-05,feature_5,10,1000,2,false
U-e2c556,A-05d3b3,S-b11cdb,2023-10-17,feature_20,6,1626,0,false
U-2ba6af,A-05d3b3,S-b11cdb,2024-06-15,feature_13,10,780,0,false
U-e7e9c3,A-05d3b3,S-b11cdb,2024-04-10,feature_23,10,790,0,false
U-b1a105,A-05d3b3,S-b11cdb,2024-09-16,feature_39,14,1288,0,false
U-ccdd58,A-05d3b3,S-c92850,2024-04-12,feature_34,17,5644,0,false
U-631936,A-05d3b3,S-c92850,2023-07-16,feature_28,13,4927,0,false
U-d1801b,A-05d3b3,S-c92850,2024-09-22,feature_16,15,2235,0,false
U-9ac0c7,A-05d3b3,S-c92850,2024-01-09,feature_2,9,4950,0,false
U-7a294f,A-05d3b3,S-c92850,2024-07-13,feature_36,12,6684,2,false
U-a3ce46,A-05d3b3,S-c92850,2024-06-05,feature_17,9,198,0,false
U-f76b01,A-05d3b3,S-eb84b1,2024-07-16,feature_33,3,1620,0,false
U-f5eb65,A-05d3b3,S-eb84b1,2024-12-18,feature_35,7,1379,0,false
U-7ed152,A-05d3b3,S-eb84b1,2023-12-09,feature_18,16,1200,1,false
U-208826,A-05f0e5,S-00866d,2023-08-28,feature_2,9,1611,0,false
U-fb063d,A-05f0e5,S-00866d,2024-11-21,feature_21,16,80,0,false
U-e51bda,A-05f0e5,S-00866d,2023-06-22,feature_26,12,264,2,false
U-abd022,A-05f0e5,S-0ab9fb,2024-12-30,feature_37,14,5992,1,false
U-5f7639,A-05f0e5,S-1883dc,2023-08-18,feature_27,9,1908,0,false
U-a1847d,A-05f0e5,S-1883dc,2024-02-16,feature_38,15,3195,0,false
U-05780e,A-05f0e5,S-22365f,2023-10-20,feature_4,12,1632,3,false
