signup_month,month_number,total_accounts,usage_churn,usage_churn_rate
2023-10-01,13,18,3,0.17
2023-10-01,14,18,2,0.11
2023-12-01,0,20,7,0.35
2023-12-01,1,20,3,0.15
2023-12-01,2,20,6,0.3
2023-12-01,3,20,3,0.15
2023-12-01,4,20,0,0.0
2023-12-01,5,20,2,0.1
2023-12-01,6,20,3,0.15
2023-12-01,7,20,1,0.05
2023-12-01,8,20,2,0.1
2023-12-01,9,20,4,0.2
2023-12-01,10,20,1,0.05
2023-12-01,11,20,6,0.3
2023-12-01,12,20,4,0.2
2024-11-01,0,36,14,0.39
2024-11-01,1,36,8,0.22
2024-06-01,0,27,13,0.48
2024-06-01,1,27,4,0.15
2024-06-01,2,27,5,0.19
2024-06-01,3,27,6,0.22
2024-06-01,4,27,3,0.11
2024-06-01,5,27,5,0.19
2024-06-01,6,27,6,0.22
2024-09-01,0,31,17,0.55
2024-09-01,1,31,6,0.19
2024-09-01,2,31,5,0.16
2024-09-01,3,31,4,0.13
2023-07-01,0,18,5,0.28
2023-07-01,1,18,2,0.11
2023-07-01,2,18,3,0.17
2023-07-01,3,18,0,0.0
2023-07-01,4,18,3,0.17
2023-07-01,5,18,3,0.17
2023-07-01,6,18,4,0.22
2023-07-01,7,18,2,0.11
2023-07-01,8,18,4,0.22
2023-07-01,9,18,2,0.11
2023-07-01,10,18,4,0.22
2023-07-01,11,18,2,0.11
2023-07-01,12,18,2,0.11
2023-07-01,13,18,3,0.17
2023-07-01,14,18,3,0.17
2023-07-01,15,18,3,0.17
2023-07-01,16,18,3,0.17
2023-07-01,17,18,3,0.17
2024-10-01,0,23,12,0.52
2024-10-01,1,23,5,0.22
2024-10-01,2,23,3,0.13
2024-07-01,0,28,13,0.46
2024-07-01,1,28,4,0.14
2024-07-01,2,28,4,0.14
2024-07-01,3,28,3,0.11
2024-07-01,4,28,4,0.14
2024-07-01,5,28,2,0.07
2024-04-01,0,22,7,0.32
2024-04-01,1,22,2,0.09
2024-04-01,2,22,5,0.23
2024-04-01,3,22,1,0.05
2024-04-01,4,22,1,0.05
2024-04-01,5,22,2,0.09
2024-04-01,6,22,3,0.14
2024-04-01,7,22,5,0.23
2024-04-01,8,22,3,0.14
2024-12-01,0,25,11,0.44
2023-08-01,0,27,14,0.52
2023-08-01,1,27,5,0.19
2023-08-01,2,27,1,0.04
2023-08-01,3,27,3,0.11
2023-08-01,4,27,4,0.15
2023-08-01,5,27,3,0.11
2023-08-01,6,27,4,0.15
2023-08-01,7,27,3,0.11
2023-08-01,8,27,4,0.15
2023-08-01,9,27,5,0.19
2023-08-01,10,27,3,0.11
2023-08-01,11,27,3,0.11
2023-08-01,12,27,4,0.15
2023-08-01,13,27,5,0.19
2023-08-01,14,27,5,0.19
2023-08-01,15,27,5,0.19
2023-08-01,16,27,6,0.22
2023-05-01,0,14,6,0.43
2023-05-01,1,14,6,0.43
2023-05-01,2,14,1,0.07
2023-05-01,3,14,1,0.07
2023-05-01,4,14,2,0.14
2023-05-01,5,14,3,0.21
2023-05-01,6,14,5,0.36
2023-05-01,7,14,5,0.36
2023-05-01,8,14,0,0.0
2023-05-01,9,14,1,0.07
2023-05-01,10,14,3,0.21
2023-05-01,11,14,2,0.14
2023-05-01,12,14,1,0.07
2023-05-01,13,14,2,0.14
2023-05-01,14,14,3,0.21
2023-05-01,15,14,3,0.21
2023-05-01,16,14,2,0.14
2023-05-01,17,14,0,0.0
2023-05-01,18,14,3,0.21
2023-05-01,19,14,1,0.07
2023-02-01,0,8,4,0.5
2023-02-01,1,8,0,0.0
2023-02-01,2,8,0,0.0
2023-02-01,3,8,0,0.0
2023-02-01,4,8,1,0.13
2023-02-01,5,8,1,0.13
2023-02-01,6,8,0,0.0
2023-02-01,7,8,1,0.13
2023-02-01,8,8,0,0.0
2023-02-01,9,8,0,0.0
2023-02-01,10,8,2,0.25
2023-02-01,11,8,1,0.13
2023-02-01,12,8,0,0.0
2023-02-01,13,8,0,0.0
2023-02-01,14,8,2,0.25
2023-02-01,15,8,2,0.25
2023-02-01,16,8,1,0.13
2023-02-01,17,8,0,0.0
2023-02-01,18,8,1,0.13
2023-02-01,19,8,0,0.0
2023-02-01,20,8,2,0.25
2023-02-01,21,8,3,0.38
2023-02-01,22,8,2,0.25
2023-03-01,0,11,5,0.45
2023-03-01,1,11,0,0.0
2023-03-01,2,11,1,0.09
2023-03-01,3,11,2,0.18
2023-03-01,4,11,1,0.09
2023-03-01,5,11,4,0.36
2023-03-01,6,11,2,0.18
2023-03-01,7,11,2,0.18
2023-03-01,8,11,3,0.27
2023-03-01,9,11,2,0.18
2023-03-01,10,11,1,0.09
2023-03-01,11,11,2,0.18
2023-03-01,12,11,3,0.27
2023-03-01,13,11,1,0.09
2023-03-01,14,11,3,0.27
2023-03-01,15,11,3,0.27
2023-03-01,16,11,3,0.27
2023-03-01,17,11,1,0.09
2023-03-01,18,11,2,0.18
2023-03-01,19,11,2,0.18
2023-03-01,20,11,1,0.09
2023-03-01,21,11,3,0.27
2024-01-01,0,26,12,0.46
2024-01-01,1,26,3,0.12
2024-01-01,2,26,5,0.19
2024-01-01,3,26,6,0.23
2024-01-01,4,26,2,0.08
2024-01-01,5,26,7,0.27
2024-01-01,6,26,4,0.15
2024-01-01,7,26,3,0.12
2024-01-01,8,26,3,0.12
2024-01-01,9,26,2,0.08
2024-01-01,10,26,7,0.27
2024-01-01,11,26,6,0.23
2024-02-01,0,18,7,0.39
2024-02-01,1,18,2,0.11
2024-02-01,2,18,2,0.11
2024-02-01,3,18,3,0.17
2024-02-01,4,18,1,0.06
2024-02-01,5,18,2,0.11
2024-02-01,6,18,4,0.22
2024-02-01,7,18,3,0.17
2024-02-01,8,18,3,0.17
2024-02-01,9,18,3,0.17
2024-02-01,10,18,4,0.22
2023-04-01,0,15,5,0.33
2023-04-01,1,15,5,0.33
2023-04-01,2,15,2,0.13
2023-04-01,3,15,4,0.27
2023-04-01,4,15,2,0.13
2023-04-01,5,15,3,0.2
2023-04-01,6,15,2,0.13
2023-04-01,7,15,1,0.07
2023-04-01,8,15,2,0.13
2023-04-01,9,15,1,0.07
2023-04-01,10,15,2,0.13
2023-04-01,11,15,1,0.07
2023-04-01,12,15,1,0.07
2023-04-01,13,15,1,0.07
2023-04-01,14,15,3,0.2
2023-04-01,15,15,0,0.0
2023-04-01,16,15,2,0.13
2023-04-01,17,15,4,0.27
2023-04-01,18,15,1,0.07
2023-04-01,19,15,3,0.2
2023-04-01,20,15,1,0.07
2023-01-01,0,2,1,0.5
2023-01-01,1,2,1,0.5
2023-01-01,2,2,0,0.0
2023-01-01,3,2,0,0.0
2023-01-01,4,2,0,0.0
2023-01-01,5,2,0,0.0
2023-01-01,6,2,0,0.0
2023-01-01,7,2,0,0.0
2023-01-01,8,2,0,0.0
2023-01-01,9,2,1,0.5
2023-01-01,10,2,1,0.5
2023-01-01,11,2,0,0.0
2023-01-01,12,2,2,1.0
2023-01-01,13,2,0,0.0
2023-01-01,14,2,0,0.0
2023-01-01,15,2,0,0.0
2023-01-01,16,2,0,0.0
2023-01-01,17,2,1,0.5
2023-01-01,18,2,0,0.0
2023-01-01,19,2,1,0.5
2023-01-01,20,2,1,0.5
2023-01-01,21,2,0,0.0
2023-01-01,22,2,1,0.5
2023-01-01,23,2,0,0.0
