reporting_month,account_id,account_status,plan_tier,mrr_amount,usage_flag
2024-10-01,A-02fac6,active,Pro,1078,true
2024-11-01,A-02fac6,active,Pro,1078,true
2024-12-01,A-02fac6,active,Pro,1078,true
2023-12-01,A-034368,trial,Basic,0,true
2024-01-01,A-034368,trial,Basic,0,false
2024-02-01,A-034368,trial,Basic,0,false
2024-03-01,A-034368,trial,Basic,0,false
2024-04-01,A-034368,trial,Basic,0,true
2024-05-01,A-034368,trial,Basic,0,false
2024-06-01,A-034368,active,Basic,494,false
2024-07-01,A-034368,active,Basic,494,true
2024-08-01,A-034368,active,Basic,494,true
2024-09-01,A-034368,active,Basic,494,true
2024-10-01,A-034368,active,Enterprise,5572,true
2024-11-01,A-034368,active,Basic,551,true
2024-12-01,A-034368,active,Enterprise,4577,true
2024-11-01,A-0354fe,active,Basic,646,true
2024-12-01,A-0354fe,active,Enterprise,6766,true
2024-06-01,A-038089,active,Pro,245,false
2024-07-01,A-038089,active,Pro,1764,false
2024-08-01,A-038089,active,Pro,1764,true
2024-09-01,A-038089,active,Pro,1764,true
2024-10-01,A-038089,active,Pro,1764,false
2024-11-01,A-038089,active,Pro,1764,true
2024-12-01,A-038089,active,Basic,95,false
2024-11-01,A-039727,active,Pro,1225,true
2024-12-01,A-039727,churned,Enterprise,4975,true
2024-09-01,A-0532a9,active,Basic,361,true
2024-10-01,A-0532a9,active,Enterprise,5373,true
2024-11-01,A-0532a9,active,Pro,1029,true
2024-12-01,A-0532a9,active,Pro,931,true
2024-05-01,A-054577,active,Pro,343,true
2024-06-01,A-054577,active,Pro,1715,false
2024-07-01,A-054577,active,Enterprise,597,true
2024-08-01,A-054577,active,Basic,456,false
2024-09-01,A-054577,active,Enterprise,14925,true
2024-10-01,A-054577,active,Basic,456,false
2024-11-01,A-054577,active,Basic,475,true
2024-12-01,A-054577,active,Enterprise,16915,true
2023-07-01,A-05d3b3,active,Basic,171,true
2023-08-01,A-05d3b3,active,Basic,3184,false
2023-09-01,A-05d3b3,active,Pro,1078,false
2023-10-01,A-05d3b3,active,Pro,1078,true
2023-11-01,A-05d3b3,active,Pro,209,true
2023-12-01,A-05d3b3,active,Pro,209,true
2024-01-01,A-05d3b3,active,Enterprise,2587,true
2024-02-01,A-05d3b3,active,Basic,532,true
2024-03-01,A-05d3b3,active,Basic,532,true
2024-04-01,A-05d3b3,active,Basic,532,true
2024-05-01,A-05d3b3,active,Basic,532,true
2024-06-01,A-05d3b3,active,Basic,532,true
2024-07-01,A-05d3b3,active,Basic,532,true
2024-08-01,A-05d3b3,active,Pro,441,true
2024-09-01,A-05d3b3,active,Enterprise,171,true
2024-10-01,A-05d3b3,active,Enterprise,3781,true
2024-11-01,A-05d3b3,active,Enterprise,3781,true
2024-12-01,A-05d3b3,active,Enterprise,3781,true
2023-06-01,A-05f0e5,active,Pro,2254,true
2023-07-01,A-05f0e5,active,Pro,2254,true
2023-08-01,A-05f0e5,active,Pro,2254,true
2023-09-01,A-05f0e5,active,Pro,2254,false
2023-10-01,A-05f0e5,active,Basic,608,true
2023-11-01,A-05f0e5,active,Basic,608,true
2023-12-01,A-05f0e5,active,Basic,608,true
2024-01-01,A-05f0e5,active,Basic,608,true
2024-02-01,A-05f0e5,active,Basic,1064,true
2024-03-01,A-05f0e5,active,Basic,1064,true
2024-04-01,A-05f0e5,active,Enterprise,6368,true
2024-05-01,A-05f0e5,active,Pro,1568,true
2024-06-01,A-05f0e5,active,Enterprise,18308,true
2024-07-01,A-05f0e5,active,Enterprise,6368,true
2024-08-01,A-05f0e5,active,Pro,1568,true
2024-09-01,A-05f0e5,active,Pro,1568,true
2024-10-01,A-05f0e5,active,Pro,3185,true
2024-11-01,A-05f0e5,active,Pro,2842,true
2024-12-01,A-05f0e5,active,Pro,2842,true
2024-10-01,A-0651a4,active,Enterprise,11940,false
2024-11-01,A-0651a4,active,Basic,304,true
2024-12-01,A-0651a4,active,Enterprise,12935,true
2023-10-01,A-068fc6,active,Pro,1715,false
2023-11-01,A-068fc6,active,Pro,1715,true
2023-12-01,A-068fc6,active,Pro,1715,false
2024-01-01,A-068fc6,active,Pro,1715,true
2024-02-01,A-068fc6,active,Pro,1715,true
2024-03-01,A-068fc6,active,Basic,665,true
2024-04-01,A-068fc6,active,Enterprise,6965,true
2024-05-01,A-068fc6,active,Enterprise,6965,true
2024-06-01,A-068fc6,active,Enterprise,6965,true
2024-07-01,A-068fc6,active,Pro,1715,true
2024-08-01,A-068fc6,active,Pro,1715,true
2024-09-01,A-068fc6,active,Pro,1715,true
2024-10-01,A-068fc6,active,Basic,665,false
2024-11-01,A-068fc6,active,Basic,665,true
2024-12-01,A-068fc6,churned,Enterprise,6965,true
2023-07-01,A-075038,active,Pro,5047,false
2023-08-01,A-075038,active,Pro,5047,true
2023-09-01,A-075038,active,Pro,5047,true
2023-10-01,A-075038,active,Pro,5047,true
2023-11-01,A-075038,trial,Pro,0,true
2023-12-01,A-075038,trial,Pro,0,true
2024-01-01,A-075038,active,Pro,2450,true
2024-02-01,A-075038,active,Pro,833,true
2024-03-01,A-075038,active,Pro,833,true
2024-04-01,A-075038,active,Basic,323,true
2024-05-01,A-075038,active,Basic,703,true
2024-06-01,A-075038,active,Basic,703,true
2024-07-01,A-075038,active,Pro,833,true
2024-08-01,A-075038,active,Enterprise,3383,true
2024-09-01,A-075038,active,Enterprise,3383,true
2024-10-01,A-075038,active,Basic,798,true
2024-11-01,A-075038,active,Basic,798,true
2024-12-01,A-075038,active,Basic,798,true
2023-06-01,A-089363,active,Pro,98,true
2023-07-01,A-089363,active,Pro,98,true
2023-08-01,A-089363,active,Pro,98,true
2023-09-01,A-089363,active,Pro,98,true
2023-10-01,A-089363,active,Enterprise,98,true
2023-11-01,A-089363,active,Basic,760,true
2023-12-01,A-089363,active,Basic,760,true
2024-01-01,A-089363,active,Enterprise,2985,true
2024-02-01,A-089363,active,Enterprise,2985,true
2024-03-01,A-089363,active,Enterprise,2985,true
2024-04-01,A-089363,active,Enterprise,2985,true
2024-05-01,A-089363,active,Enterprise,2985,true
2024-06-01,A-089363,trial,Basic,0,true
2024-07-01,A-089363,active,Pro,1274,true
2024-08-01,A-089363,active,Enterprise,1990,false
2024-09-01,A-089363,active,Enterprise,1990,true
2024-10-01,A-089363,active,Basic,209,true
2024-11-01,A-089363,active,Enterprise,5174,true
2024-12-01,A-089363,active,Enterprise,5174,true
2024-07-01,A-08e34e,active,Basic,686,true
2024-08-01,A-08e34e,active,Pro,686,true
2024-09-01,A-08e34e,active,Pro,686,true
2024-10-01,A-08e34e,active,Pro,686,true
2024-11-01,A-08e34e,active,Enterprise,5771,true
2024-12-01,A-08e34e,active,Enterprise,2786,true
2024-09-01,A-09316c,active,Enterprise,13930,false
2024-10-01,A-09316c,active,Basic,13930,false
2024-11-01,A-09316c,active,Pro,3430,true
2024-12-01,A-09316c,active,Enterprise,13930,true
2024-04-01,A-09540c,active,Basic,1273,true
2024-05-01,A-09540c,active,Enterprise,13333,false
2024-06-01,A-09540c,active,Enterprise,13333,false
2024-07-01,A-09540c,active,Enterprise,13333,true
2024-08-01,A-09540c,active,Basic,1273,true
2024-09-01,A-09540c,active,Basic,1273,true
2024-10-01,A-09540c,active,Basic,1273,true
2024-11-01,A-09540c,active,Pro,3283,false
2024-12-01,A-09540c,active,Pro,3283,true
2023-12-01,A-098560,active,Pro,1715,true
2024-01-01,A-098560,active,Pro,1715,true
2024-02-01,A-098560,active,Pro,1715,false
2024-03-01,A-098560,active,Pro,588,true
2024-04-01,A-098560,active,Basic,190,true
2024-05-01,A-098560,active,Basic,190,true
2024-06-01,A-098560,active,Basic,190,false
2024-07-01,A-098560,active,Basic,551,true
2024-08-01,A-098560,active,Basic,551,true
2024-09-01,A-098560,active,Basic,133,true
2024-10-01,A-098560,active,Basic,760,true
2024-11-01,A-098560,active,Enterprise,796,true
2024-12-01,A-098560,active,Enterprise,796,true
2024-08-01,A-0a282f,active,Enterprise,3781,false
2024-09-01,A-0a282f,active,Enterprise,1194,true
2024-10-01,A-0a282f,active,Basic,228,false
2024-11-01,A-0a282f,active,Pro,49,true
2024-12-01,A-0a282f,active,Pro,98,true
2024-09-01,A-0a62f5,active,Enterprise,3184,false
2024-10-01,A-0a62f5,active,Pro,784,false
2024-11-01,A-0a62f5,active,Pro,784,true
2024-12-01,A-0a62f5,active,Basic,475,false
2024-06-01,A-0aaf6e,active,Pro,1813,false
2024-07-01,A-0aaf6e,active,Basic,1813,true
2024-08-01,A-0aaf6e,active,Pro,456,true
2024-09-01,A-0aaf6e,active,Pro,456,true
2024-10-01,A-0aaf6e,active,Pro,456,true
2024-11-01,A-0aaf6e,active,Basic,57,true
2024-12-01,A-0aaf6e,active,Enterprise,3582,true
2024-12-01,A-0b0d6d,active,Pro,147,false
2024-06-01,A-0baac2,active,Enterprise,5771,true
2024-07-01,A-0baac2,active,Enterprise,5771,false
2024-08-01,A-0baac2,active,Enterprise,5771,true
2024-09-01,A-0baac2,active,Enterprise,5771,false
2024-10-01,A-0baac2,active,Enterprise,6169,true
2024-11-01,A-0baac2,active,Enterprise,6169,false
2024-12-01,A-0baac2,churned,Enterprise,2786,false
2024-10-01,A-0be015,active,Basic,361,true
2024-11-01,A-0be015,active,Basic,456,false
2024-12-01,A-0be015,trial,Basic,0,false
2024-07-01,A-0cc442,trial,Enterprise,0,true
2024-08-01,A-0cc442,active,Enterprise,8955,true
2024-09-01,A-0cc442,active,Basic,855,true
2024-10-01,A-0cc442,active,Basic,855,true
2024-11-01,A-0cc442,active,Enterprise,8955,true
2024-12-01,A-0cc442,active,Enterprise,8955,true
2023-06-01,A-0dbdc6,trial,Pro,0,true
2023-07-01,A-0dbdc6,trial,Pro,0,true
2023-08-01,A-0dbdc6,trial,Pro,0,true
2023-09-01,A-0dbdc6,trial,Pro,0,true
2023-10-01,A-0dbdc6,trial,Pro,0,true
2023-11-01,A-0dbdc6,active,Basic,570,true
2023-12-01,A-0dbdc6,active,Basic,570,false
2024-01-01,A-0dbdc6,active,Basic,570,true
2024-02-01,A-0dbdc6,active,Basic,570,true
2024-03-01,A-0dbdc6,active,Basic,570,false
2024-04-01,A-0dbdc6,active,Pro,1470,false
2024-05-01,A-0dbdc6,active,Enterprise,9950,true
2024-06-01,A-0dbdc6,active,Enterprise,9950,true
2024-07-01,A-0dbdc6,active,Pro,1470,true
2024-08-01,A-0dbdc6,active,Pro,1470,true
2024-09-01,A-0dbdc6,active,Pro,1470,true
2024-10-01,A-0dbdc6,active,Enterprise,5970,true
2024-11-01,A-0dbdc6,active,Enterprise,5970,false
2024-12-01,A-0dbdc6,active,Pro,2303,true
2024-06-01,A-0e966d,active,Enterprise,4577,false
2024-07-01,A-0e966d,active,Enterprise,4577,true
2024-08-01,A-0e966d,active,Pro,4577,true
2024-09-01,A-0e966d,active,Pro,637,true
2024-10-01,A-0e966d,active,Basic,418,true
2024-11-01,A-0e966d,churned,Basic,209,true
2024-12-01,A-0e966d,churned,Basic,209,false
2023-08-01,A-0f3e88,active,Basic,133,true
2023-09-01,A-0f3e88,active,Basic,456,true
2023-10-01,A-0f3e88,active,Basic,456,true
2023-11-01,A-0f3e88,active,Basic,456,true
2023-12-01,A-0f3e88,active,Basic,304,true
2024-01-01,A-0f3e88,active,Pro,1078,true
2024-02-01,A-0f3e88,active,Enterprise,2189,true
2024-03-01,A-0f3e88,active,Enterprise,2189,true
2024-04-01,A-0f3e88,active,Basic,266,true
2024-05-01,A-0f3e88,active,Basic,266,true
2024-06-01,A-0f3e88,active,Basic,323,true
2024-07-01,A-0f3e88,active,Basic,323,true
2024-08-01,A-0f3e88,active,Basic,323,true
2024-09-01,A-0f3e88,active,Basic,323,true
2024-10-01,A-0f3e88,active,Basic,209,true
2024-11-01,A-0f3e88,active,Basic,323,true
2024-12-01,A-0f3e88,churned,Pro,343,true
2024-12-01,A-0f6450,active,Enterprise,5572,false
2024-11-01,A-0f7d77,active,Pro,539,true
2024-12-01,A-0f7d77,active,Basic,133,true
2024-09-01,A-104f1a,active,Pro,1960,false
2024-10-01,A-104f1a,active,Pro,1176,true
2024-11-01,A-104f1a,active,Basic,456,true
2024-12-01,A-104f1a,active,Basic,646,true
2023-05-01,A-10b8da,active,Enterprise,3383,false
2023-06-01,A-10b8da,active,Basic,266,false
2023-07-01,A-10b8da,active,Basic,266,true
2023-08-01,A-10b8da,active,Basic,266,true
2023-09-01,A-10b8da,active,Basic,266,false
2023-10-01,A-10b8da,active,Basic,266,false
2023-11-01,A-10b8da,active,Basic,266,true
2023-12-01,A-10b8da,active,Basic,266,false
2024-01-01,A-10b8da,active,Basic,266,true
2024-02-01,A-10b8da,active,Basic,266,true
2024-03-01,A-10b8da,active,Basic,266,false
2024-04-01,A-10b8da,active,Enterprise,266,true
2024-05-01,A-10b8da,active,Pro,686,false
2024-06-01,A-10b8da,active,Pro,686,true
2024-07-01,A-10b8da,active,Enterprise,2786,false
2024-08-01,A-10b8da,active,Enterprise,2786,false
2024-09-01,A-10b8da,active,Pro,1666,true
2024-10-01,A-10b8da,active,Pro,1666,true
2024-11-01,A-10b8da,active,Pro,1666,false
2024-12-01,A-10b8da,active,Pro,1666,true
2023-02-01,A-10b8f2,trial,Basic,0,true
2023-03-01,A-10b8f2,trial,Basic,0,true
2023-04-01,A-10b8f2,active,Basic,893,true
2023-05-01,A-10b8f2,active,Basic,893,true
2023-06-01,A-10b8f2,active,Basic,969,true
2023-07-01,A-10b8f2,active,Basic,969,true
2023-08-01,A-10b8f2,active,Basic,969,true
2023-09-01,A-10b8f2,active,Basic,969,true
2023-10-01,A-10b8f2,active,Enterprise,9353,true
2023-11-01,A-10b8f2,active,Enterprise,9353,true
2023-12-01,A-10b8f2,active,Enterprise,9353,true
2024-01-01,A-10b8f2,active,Basic,893,true
2024-02-01,A-10b8f2,active,Basic,893,true
2024-03-01,A-10b8f2,active,Pro,2303,true
2024-04-01,A-10b8f2,active,Basic,1957,true
2024-05-01,A-10b8f2,active,Basic,1957,false
2024-06-01,A-10b8f2,active,Basic,1957,true
2024-07-01,A-10b8f2,active,Basic,1957,true
2024-08-01,A-10b8f2,active,Basic,1957,true
2024-09-01,A-10b8f2,active,Basic,1957,true
2024-10-01,A-10b8f2,active,Basic,1957,true
2024-11-01,A-10b8f2,active,Basic,1957,true
2024-12-01,A-10b8f2,active,Pro,2352,true
2024-10-01,A-117171,active,Enterprise,8955,false
2024-11-01,A-117171,active,Pro,855,true
2024-12-01,A-117171,churned,Pro,2205,true
2024-10-01,A-118d55,active,Enterprise,1592,false
2024-11-01,A-118d55,active,Enterprise,3184,true
2024-12-01,A-118d55,churned,Enterprise,5771,true
2024-10-01,A-118f1c,active,Enterprise,6368,false
2024-11-01,A-118f1c,active,Enterprise,6368,false
2024-12-01,A-118f1c,active,Enterprise,6368,false
2023-11-01,A-13466a,active,Basic,38,false
2023-12-01,A-13466a,active,Basic,38,true
2024-01-01,A-13466a,active,Basic,38,false
2024-02-01,A-13466a,active,Enterprise,7960,true
2024-03-01,A-13466a,active,Enterprise,7960,false
2024-04-01,A-13466a,active,Basic,7960,true
2024-05-01,A-13466a,active,Enterprise,4378,false
2024-06-01,A-13466a,active,Enterprise,4378,true
2024-07-01,A-13466a,active,Enterprise,4378,false
2024-08-01,A-13466a,active,Enterprise,4378,false
2024-09-01,A-13466a,active,Basic,171,false
2024-10-01,A-13466a,active,Basic,171,true
2024-11-01,A-13466a,active,Basic,171,false
2024-12-01,A-13466a,active,Basic,171,true
2024-11-01,A-139c3b,active,Basic,551,true
2024-12-01,A-139c3b,active,Pro,490,true
2024-12-01,A-149a69,active,Basic,646,false
2023-05-01,A-151c9a,active,Pro,1127,false
2023-06-01,A-151c9a,active,Pro,1127,false
2023-07-01,A-151c9a,active,Pro,1421,true
2023-08-01,A-151c9a,active,Pro,1421,true
2023-09-01,A-151c9a,active,Pro,1421,true
2023-10-01,A-151c9a,active,Pro,1421,true
2023-11-01,A-151c9a,active,Pro,1421,false
2023-12-01,A-151c9a,active,Pro,1421,false
2024-01-01,A-151c9a,active,Pro,1421,true
2024-02-01,A-151c9a,active,Enterprise,4577,true
2024-03-01,A-151c9a,active,Enterprise,4577,true
2024-04-01,A-151c9a,active,Enterprise,4577,true
2024-05-01,A-151c9a,active,Enterprise,4577,true
2024-06-01,A-151c9a,active,Pro,2548,false
2024-07-01,A-151c9a,active,Pro,2548,false
2024-08-01,A-151c9a,active,Pro,2548,true
2024-09-01,A-151c9a,active,Pro,2548,true
2024-10-01,A-151c9a,active,Pro,2548,true
2024-11-01,A-151c9a,active,Pro,2548,false
2024-12-01,A-151c9a,active,Pro,2548,true
2023-12-01,A-157070,active,Basic,323,false
2024-01-01,A-157070,active,Enterprise,3184,true
2024-02-01,A-157070,active,Pro,882,true
2024-03-01,A-157070,active,Enterprise,6965,true
2024-04-01,A-157070,active,Enterprise,6965,true
2024-05-01,A-157070,active,Basic,513,true
2024-06-01,A-157070,active,Basic,513,true
2024-07-01,A-157070,active,Pro,882,true
2024-08-01,A-157070,active,Enterprise,3184,true
2024-09-01,A-157070,active,Basic,513,true
2024-10-01,A-157070,active,Enterprise,4577,true
2024-11-01,A-157070,active,Enterprise,4577,true
2024-12-01,A-157070,churned,Basic,722,true
2023-06-01,A-158f4e,active,Basic,1159,true
2023-07-01,A-158f4e,active,Basic,1159,true
2023-08-01,A-158f4e,active,Pro,1159,true
2023-09-01,A-158f4e,active,Pro,2989,false
2023-10-01,A-158f4e,active,Pro,2989,true
2023-11-01,A-158f4e,active,Basic,1159,true
2023-12-01,A-158f4e,active,Pro,2989,true
2024-01-01,A-158f4e,active,Pro,2989,false
2024-02-01,A-158f4e,active,Pro,2989,false
2024-03-01,A-158f4e,active,Enterprise,12139,true
2024-04-01,A-158f4e,active,Enterprise,12139,true
2024-05-01,A-158f4e,active,Enterprise,12139,true
2024-06-01,A-158f4e,active,Enterprise,12139,true
2024-07-01,A-158f4e,active,Enterprise,12139,true
2024-08-01,A-158f4e,active,Enterprise,12139,true
2024-09-01,A-158f4e,active,Basic,1159,true
2024-10-01,A-158f4e,active,Basic,1159,true
2024-11-01,A-158f4e,active,Enterprise,12139,true
2024-12-01,A-158f4e,active,Enterprise,12139,false
2024-06-01,A-1619f8,active,Pro,10945,false
2024-07-01,A-1619f8,active,Basic,551,true
2024-08-01,A-1619f8,active,Basic,551,true
2024-09-01,A-1619f8,active,Basic,551,true
2024-10-01,A-1619f8,active,Basic,551,true
2024-11-01,A-1619f8,active,Basic,551,true
2024-12-01,A-1619f8,active,Basic,551,true
2024-12-01,A-17939a,active,Basic,266,false
2023-09-01,A-180abf,active,Enterprise,12736,true
2023-10-01,A-180abf,active,Enterprise,12736,true
2023-11-01,A-180abf,active,Enterprise,12736,true
2023-12-01,A-180abf,active,Enterprise,12736,true
2024-01-01,A-180abf,active,Basic,12736,true
2024-02-01,A-180abf,active,Pro,3136,true
2024-03-01,A-180abf,active,Pro,3136,true
2024-04-01,A-180abf,active,Enterprise,12736,false
2024-05-01,A-180abf,active,Enterprise,12736,true
2024-06-01,A-180abf,active,Enterprise,12736,true
2024-07-01,A-180abf,active,Basic,1216,true
2024-08-01,A-180abf,active,Basic,1216,true
2024-09-01,A-180abf,active,Basic,1216,true
2024-10-01,A-180abf,active,Basic,1216,true
2024-11-01,A-180abf,active,Basic,1216,true
2024-12-01,A-180abf,active,Pro,3136,true
2023-08-01,A-186a44,active,Basic,380,false
2023-09-01,A-186a44,active,Basic,380,true
2023-10-01,A-186a44,active,Basic,380,true
2023-11-01,A-186a44,active,Pro,980,true
2023-12-01,A-186a44,active,Pro,980,false
2024-01-01,A-186a44,active,Pro,980,false
2024-02-01,A-186a44,active,Pro,980,true
2024-03-01,A-186a44,active,Basic,380,true
2024-04-01,A-186a44,active,Basic,380,true
2024-05-01,A-186a44,active,Pro,380,true
2024-06-01,A-186a44,active,Pro,380,true
2024-07-01,A-186a44,active,Basic,380,true
2024-08-01,A-186a44,active,Basic,380,true
2024-09-01,A-186a44,active,Basic,380,false
2024-10-01,A-186a44,active,Basic,380,true
2024-11-01,A-186a44,active,Enterprise,9353,true
2024-12-01,A-186a44,churned,Basic,380,false
2024-12-01,A-18793f,active,Basic,7252,false
2023-07-01,A-1986ca,active,Enterprise,3980,true
2023-08-01,A-1986ca,active,Enterprise,3980,true
2023-09-01,A-1986ca,active,Enterprise,3980,false
2023-10-01,A-1986ca,active,Enterprise,3980,true
2023-11-01,A-1986ca,active,Enterprise,3980,true
2023-12-01,A-1986ca,active,Enterprise,3980,true
2024-01-01,A-1986ca,active,Enterprise,3980,true
2024-02-01,A-1986ca,active,Enterprise,3980,true
2024-03-01,A-1986ca,active,Enterprise,3980,false
2024-04-01,A-1986ca,active,Enterprise,3980,true
2024-05-01,A-1986ca,active,Enterprise,6169,true
2024-06-01,A-1986ca,active,Enterprise,6169,true
2024-07-01,A-1986ca,active,Enterprise,6169,true
2024-08-01,A-1986ca,active,Enterprise,6169,true
2024-09-01,A-1986ca,active,Enterprise,3980,false
2024-10-01,A-1986ca,active,Enterprise,3980,true
2024-11-01,A-1986ca,active,Enterprise,3980,true
2024-12-01,A-1986ca,active,Enterprise,3980,false
2023-06-01,A-19b2c8,active,Pro,1617,true
2023-07-01,A-19b2c8,active,Pro,980,true
2023-08-01,A-19b2c8,active,Basic,380,true
2023-09-01,A-19b2c8,active,Basic,380,true
2023-10-01,A-19b2c8,active,Basic,380,true
2023-11-01,A-19b2c8,active,Enterprise,3980,true
2023-12-01,A-19b2c8,active,Enterprise,3980,true
2024-01-01,A-19b2c8,active,Enterprise,3980,true
2024-02-01,A-19b2c8,active,Enterprise,3980,true
2024-03-01,A-19b2c8,active,Enterprise,3980,true
2024-04-01,A-19b2c8,active,Enterprise,3980,true
2024-05-01,A-19b2c8,active,Pro,980,true
2024-06-01,A-19b2c8,active,Pro,980,true
2024-07-01,A-19b2c8,active,Enterprise,5572,true
2024-08-01,A-19b2c8,active,Enterprise,5572,true
2024-09-01,A-19b2c8,active,Enterprise,5572,true
2024-10-01,A-19b2c8,active,Enterprise,3980,true
2024-11-01,A-19b2c8,active,Enterprise,3980,true
2024-12-01,A-19b2c8,active,Enterprise,3980,true
2024-10-01,A-1ac5e0,active,Basic,627,true
2024-11-01,A-1ac5e0,active,Pro,1617,true
2024-12-01,A-1ac5e0,trial,Enterprise,0,true
2023-11-01,A-1b707d,active,Enterprise,3184,true
2023-12-01,A-1b707d,active,Enterprise,3184,true
2024-01-01,A-1b707d,active,Pro,637,true
2024-02-01,A-1b707d,active,Pro,637,false
2024-03-01,A-1b707d,active,Pro,637,true
2024-04-01,A-1b707d,active,Enterprise,3781,false
2024-05-01,A-1b707d,active,Basic,152,false
2024-06-01,A-1b707d,active,Basic,152,true
2024-07-01,A-1b707d,active,Basic,152,true
2024-08-01,A-1b707d,active,Basic,152,true
2024-09-01,A-1b707d,active,Basic,152,true
2024-10-01,A-1b707d,active,Basic,779,true
2024-11-01,A-1b707d,active,Basic,456,true
2024-12-01,A-1b707d,active,Basic,456,true
2024-10-01,A-1b7577,active,Enterprise,1791,true
2024-11-01,A-1b7577,active,Enterprise,796,true
2024-12-01,A-1b7577,active,Pro,2009,true
